Day,Problem Number,Problem Name,LeetCode Link,Difficulty,Topic,Subtopic,Pattern,Companies,Hint,Completed,Notes
20,63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,Dynamic Programming,2D,Bottom-Up,Amazon|Google|Meta,Handle obstacles in grid,FALSE,
20,64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,Dynamic Programming,2D,Bottom-Up,Google|Amazon|Meta,Find minimum cost path,FALSE,
20,1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,Dynamic Programming,2D,Bottom-Up,Amazon|Google|Meta,Classic 2D DP problem,FALSE,
20,72,Edit Distance,https://leetcode.com/problems/edit-distance/,Hard,Dynamic Programming,2D,Bottom-Up,Google|Meta|Amazon,Levenshtein distance,FALSE,
20,1092,Shortest Common Supersequence,https://leetcode.com/problems/shortest-common-supersequence/,Hard,Dynamic Programming,2D,Bottom-Up,Google|Amazon,Build shortest supersequence,FALSE,
21,300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,Dynamic Programming,1D,Binary Search,Google|Meta|Amazon|Apple,O(n log n) with binary search,FALSE,
21,354,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes/,Hard,Dynamic Programming,Sorting,Binary Search,Google|Amazon|Meta,2D LIS variant,FALSE,
21,1964,Find the Longest Valid Obstacle Course at Each Position,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position/,Hard,Dynamic Programming,1D,Binary Search,Google|Amazon,LIS with obstacles,FALSE,
21,0,Longest Decreasing Subsequence (Variation),https://leetcode.com/problems/,Hard,Dynamic Programming,1D,Binary Search,Google|Amazon,Reverse of LIS pattern,FALSE,
21,416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,Dynamic Programming,Knapsack,0/1 Knapsack,Amazon|Google|Meta,Classic 0/1 knapsack variant,FALSE,
21,494,Target Sum,https://leetcode.com/problems/target-sum/,Medium,Dynamic Programming,Knapsack,0/1 Knapsack,Google|Amazon|Meta,Subset sum variant,FALSE,
22,1049,Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii/,Medium,Dynamic Programming,Knapsack,0/1 Knapsack,Google|Amazon,Minimize difference using knapsack,FALSE,
22,322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,Dynamic Programming,Knapsack,Unbounded Knapsack,Amazon|Google|Meta|Apple,Minimum coins for target,FALSE,
22,518,Coin Change 2,https://leetcode.com/problems/coin-change-2/,Medium,Dynamic Programming,Knapsack,Unbounded Knapsack,Google|Amazon|Meta,Count ways to make change,FALSE,
22,377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/,Medium,Dynamic Programming,Knapsack,Unbounded Knapsack,Amazon|Google|Meta,Count ordered combinations,FALSE,
22,1155,Number of Dice Rolls with Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/,Medium,Dynamic Programming,Knapsack,Unbounded Knapsack,Google|Amazon,Dice rolls to target sum,FALSE,
22,10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,Dynamic Programming,String Matching,2D DP,Google|Meta|Amazon,Complex regex pattern matching,FALSE,
23,32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,Dynamic Programming,String,Stack/DP,Google|Meta|Amazon,Track valid parentheses length,FALSE,
23,115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,Dynamic Programming,String,2D DP,Amazon|Google|Meta,Count distinct subsequences,FALSE,
23,97,Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,Dynamic Programming,String,2D DP,Google|Amazon|Meta,Check if interleaving possible,FALSE,
23,131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,Backtracking,String,Backtracking,Amazon|Google|Meta,Find all palindrome partitions,FALSE,
23,132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,Hard,Dynamic Programming,String,DP + Backtracking,Google|Amazon|Meta,Minimum palindrome cuts,FALSE,
24,139,Word Break,https://leetcode.com/problems/word-break/,Medium,Dynamic Programming,String,DP + Hash Map,Amazon|Google|Meta|Apple,Check if word break possible,FALSE,
24,140,Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,Dynamic Programming,String,Backtracking + Memoization,Google|Amazon|Meta,Find all word break combinations,FALSE,
24,5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,Dynamic Programming,String,Expand Around Center,Google|Meta|Amazon,Find longest palindrome,FALSE,
24,516,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,Medium,Dynamic Programming,String,2D DP,Amazon|Google,Longest palindrome subsequence,FALSE,
24,214,Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome/,Hard,Dynamic Programming,String,KMP Algorithm,Google|Amazon,Add characters to make palindrome,FALSE,
25,200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,Graphs,Search,DFS/BFS,Google|Meta|Amazon|Apple,Count connected components,FALSE,
25,695,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,Medium,Graphs,Search,DFS/BFS,Amazon|Google|Meta,Find largest island,FALSE,
25,827,Making A Large Island,https://leetcode.com/problems/making-a-large-island/,Hard,Graphs,Search,DFS/Union Find,Google|Amazon|Meta,Maximize island by changing one cell,FALSE,
25,733,Flood Fill,https://leetcode.com/problems/flood-fill/,Easy,Graphs,Search,DFS,Amazon|Google,Image flood fill simulation,FALSE,
25,934,Shortest Bridge,https://leetcode.com/problems/shortest-bridge/,Hard,Graphs,Search,BFS + DFS,Google|Amazon,Find shortest distance between islands,FALSE,
26,547,Number of Provinces,https://leetcode.com/problems/number-of-provinces/,Medium,Graphs,Union Find,Union Find,Amazon|Google|Meta,Count connected components with UF,FALSE,
26,261,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Medium,Graphs,Validation,Union Find/DFS,Amazon|Google,Validate if graph is tree,FALSE,
26,1101,The Earliest Moment When Everyone Become Friends,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/,Medium,Graphs,Union Find,Union Find,Google|Amazon,Find when all connected,FALSE,
26,990,Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations/,Medium,Graphs,Union Find,Union Find,Google|Amazon|Meta,Check equation satisfiability,FALSE,
26,1202,Smallest String With Swaps,https://leetcode.com/problems/smallest-string-with-swaps/,Medium,Graphs,Union Find,Union Find + Sorting,Google|Amazon|Meta,Minimize string with swaps,FALSE,
27,207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,Graphs,Topological Sort,DFS/Kahn's,Amazon|Google|Meta|Apple,Detect cycle with topological sort,FALSE,
27,210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,Graphs,Topological Sort,DFS/Kahn's,Google|Meta|Amazon,Return topological order,FALSE,
27,1462,Course Schedule IV,https://leetcode.com/problems/course-schedule-iv/,Medium,Graphs,Topological Sort,Kahn's + BFS,Google|Amazon,Check reachability,FALSE,
27,310,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees/,Medium,Graphs,Topological Sort,BFS + Kahn's,Google|Amazon|Meta,Find roots with minimum height,FALSE,
27,1203,Sort Items by Groups Respecting Dependencies,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/,Hard,Graphs,Topological Sort,Kahn's Algorithm,Google|Amazon,Complex topological sort,FALSE,
28,126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,Graphs,BFS,BFS + Backtracking,Google|Meta|Amazon,Find all shortest word paths,FALSE,
28,127,Word Ladder,https://leetcode.com/problems/word-ladder/,Medium,Graphs,BFS,BFS,Google|Meta|Amazon|Apple,Find shortest transformation,FALSE,
28,286,Walls and Gates,https://leetcode.com/problems/walls-and-gates/,Medium,Graphs,BFS,Multi-source BFS,Google|Amazon,Distance to nearest gate,FALSE,
28,317,Shortest Distance from All Buildings,https://leetcode.com/problems/shortest-distance-from-all-buildings/,Hard,Graphs,BFS,Multi-source BFS,Google|Amazon|Meta,Find optimal building location,FALSE,
28,542,01 Matrix,https://leetcode.com/problems/01-matrix/,Medium,Graphs,BFS,Multi-source BFS,Google|Amazon|Meta,Distance to nearest zero,FALSE,
29,133,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,Graphs,DFS,DFS + Hash Map,Google|Meta|Amazon,Deep copy of graph,FALSE,
29,1559,Detect Cycles in 2D Grid,https://leetcode.com/problems/detect-cycles-in-2d-grid/,Hard,Graphs,DFS,DFS,Google|Amazon,Detect cycle in 2D grid,FALSE,
29,1192,Critical Connections in a Network,https://leetcode.com/problems/critical-connections-in-a-network/,Hard,Graphs,DFS,Tarjan's Algorithm,Google|Amazon|Meta,Find bridges in graph,FALSE,
29,269,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,Hard,Graphs,Topological Sort,Kahn's + Trie,Google|Meta|Amazon,Deduce alien dictionary order,FALSE,
29,743,Network Delay Time,https://leetcode.com/problems/network-delay-time/,Medium,Graphs,Dijkstra,Dijkstra's Algorithm,Google|Amazon|Meta,Single source shortest path,FALSE,
30,787,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Medium,Graphs,Dijkstra,Dijkstra + Constraint,Google|Amazon|Meta,Modified shortest path with limit,FALSE,
30,1514,Path with Maximum Probability,https://leetcode.com/problems/path-with-maximum-probability/,Medium,Graphs,Dijkstra,Dijkstra on Probability,Google|Amazon,Maximum probability path,FALSE,
30,882,Reachable Nodes In Subdivided Graph,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/,Hard,Graphs,Dijkstra,Dijkstra,Google|Amazon,Count reachable nodes,FALSE,
30,1631,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/,Medium,Graphs,Dijkstra,Dijkstra on Grid,Google|Amazon|Meta,Minimize maximum effort,FALSE,
31,1584,Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,Medium,Graphs,MST,Kruskal's Algorithm,Google|Amazon|Meta,Minimum spanning tree,FALSE,
31,1135,Connecting Cities With Minimum Cost,https://leetcode.com/problems/connecting-cities-with-minimum-cost/,Medium,Graphs,MST,Kruskal's + Union Find,Google|Amazon,MST with Union Find,FALSE,
31,1584,Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,Medium,Graphs,MST,Prim's Algorithm,Amazon|Google|Meta,Alternative MST approach,FALSE,
31,2305,Fair Distribution of Cookies,https://leetcode.com/problems/fair-distribution-of-cookies/,Medium,Backtracking,Optimization,Backtracking,Google|Amazon,Partition problem variant,FALSE,
32,208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,Tries,Basic,Trie,Google|Meta|Amazon|Apple,Build basic trie structure,FALSE,
32,211,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium,Tries,Search,Trie + DFS,Google|Amazon|Meta,Trie with wildcard search,FALSE,
32,212,Word Search II,https://leetcode.com/problems/word-search-ii/,Hard,Tries,Search,Trie + Backtracking,Google|Amazon|Meta,Multiple word search,FALSE,
32,677,Map Sum Pairs,https://leetcode.com/problems/map-sum-pairs/,Medium,Tries,Aggregation,Trie,Google|Amazon,Sum of pairs with prefix,FALSE,
32,1166,Design File System,https://leetcode.com/problems/design-file-system/,Medium,Tries,Hierarchical,Trie,Google|Amazon,Trie for file system,FALSE,
33,307,Range Sum Query - Mutable,https://leetcode.com/problems/range-sum-query-mutable/,Medium,Segment Tree,Basic,Segment Tree,Google|Amazon,Segment tree basics,FALSE,
33,315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,Hard,Segment Tree,Advanced,Segment Tree + Binary Search,Google|Meta|Amazon,Inversion counting,FALSE,
33,493,Reverse Pairs,https://leetcode.com/problems/reverse-pairs/,Hard,Segment Tree,Advanced,Segment Tree + Merge Sort,Google|Amazon,Count reverse pairs,FALSE,
34,23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,Heaps,Advanced,Min Heap,Google|Meta|Amazon|Apple,Merge multiple lists with heap,FALSE,
34,215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,Heaps,Selection,Min Heap/QuickSelect,Amazon|Google|Meta|Apple,Find kth largest,FALSE,
34,347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,Heaps,Frequency,Max Heap,Google|Meta|Amazon|Apple,Top k elements,FALSE,
34,692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/,Medium,Heaps,Frequency,Max Heap,Amazon|Google,Top k with sorting,FALSE,
34,1439,Find the Kth Smallest Sum of a Matrix With Sorted Rows and Columns,https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows-and-columns/,Hard,Heaps,Matrix,Min Heap,Google|Amazon,Kth smallest sum,FALSE,
35,295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,Heaps,Design,Two Heaps,Google|Meta|Amazon|Apple,Maintain median with heaps,FALSE,
35,703,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy,Heaps,Design,Min Heap,Amazon|Google|Meta,Stream kth largest,FALSE,
35,1335,Minimum Difficulty of a Job Schedule,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule/,Hard,Dynamic Programming,DP,DP with Heap,Google|Amazon,Daily job scheduling,FALSE,
35,1046,Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,Easy,Heaps,Simulation,Max Heap,Amazon|Google,Simulate stone collisions,FALSE,
35,1923,Longest Common Subpath,https://leetcode.com/problems/longest-common-subpath/,Hard,Hashing,Advanced,Rolling Hash,Google|Amazon,Find common subpath,FALSE,
36,56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,Intervals,Merging,Sorting,Google|Meta|Amazon|Apple,Merge overlapping intervals,FALSE,
36,57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,Intervals,Insertion,Greedy,Amazon|Google|Meta,Insert into intervals,FALSE,
36,435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,Intervals,Greedy,Greedy,Google|Amazon|Meta,Remove minimum intervals,FALSE,
36,452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Medium,Intervals,Greedy,Greedy,Google|Amazon,Minimum arrows needed,FALSE,
36,1288,Remove Covered Intervals,https://leetcode.com/problems/remove-covered-intervals/,Medium,Intervals,Filtering,Sorting,Google|Amazon,Remove subsumed intervals,FALSE,
36,1854,Maximum Population Year,https://leetcode.com/problems/maximum-population-year/,Easy,Intervals,Counting,Range Update,Amazon|Google,Year with max population,FALSE,
37,122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,Greedy,Trading,Greedy,Amazon|Google|Meta|Apple,Multiple transactions allowed,FALSE,
37,123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,Dynamic Programming,Trading,DP,Google|Meta|Amazon,At most 2 transactions,FALSE,
37,188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Hard,Dynamic Programming,Trading,DP,Amazon|Google|Meta,K transactions allowed,FALSE,
37,309,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Medium,Dynamic Programming,Trading,DP,Google|Amazon|Meta,Transactions with cooldown,FALSE,
37,714,Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,Medium,Dynamic Programming,Trading,DP,Amazon|Google,Transactions with fee,FALSE,
38,455,Assign Cookies,https://leetcode.com/problems/assign-cookies/,Easy,Greedy,Assignment,Greedy,Amazon|Google,Greedy assignment,FALSE,
38,621,Task Scheduler,https://leetcode.com/problems/task-scheduler/,Medium,Greedy,Scheduling,Greedy + Heap,Google|Meta|Amazon,Schedule tasks with cooldown,FALSE,
38,1208,Get Equal Substrings Within Budget,https://leetcode.com/problems/get-equal-substrings-within-budget/,Medium,Greedy,String,Sliding Window + Greedy,Google|Amazon,Minimize cost for substrings,FALSE,
38,1221,Split a String in Balanced Strings,https://leetcode.com/problems/split-a-string-in-balanced-strings/,Easy,Greedy,String,Greedy,Amazon|Google,Split into balanced parts,FALSE,
38,1419,Minimum Number of Frogs Croaking,https://leetcode.com/problems/minimum-number-of-frogs-croaking/,Medium,Greedy,State,State Machine,Google|Amazon,Track frog states,FALSE,
39,409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome/,Easy,Greedy,String,Hash Map,Amazon|Google,Build longest palindrome,FALSE,
39,1005,Maximize Sum Of Array After K Negations,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations/,Easy,Greedy,Optimization,Sorting,Amazon|Google,Maximize with flips,FALSE,
39,1338,Reduce Array Size to The Half,https://leetcode.com/problems/reduce-array-size-to-the-half/,Medium,Greedy,Optimization,Sorting + Hash Map,Google|Amazon,Remove minimum elements,FALSE,
39,1402,Reducing Dishes,https://leetcode.com/problems/reducing-dishes/,Hard,Greedy,Optimization,Greedy + Sorting,Google|Amazon,Maximum sum with satisfaction,FALSE,
40,56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,Intervals,Merging,Sorting,Google|Meta|Amazon,Merge overlapping intervals,FALSE,
40,57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,Intervals,Insertion,Greedy,Amazon|Google|Meta,Insert into interval list,FALSE,
40,1229,Meeting Scheduler,https://leetcode.com/problems/meeting-scheduler/,Medium,Intervals,Scheduling,Two Pointers,Google|Amazon,Find common meeting time,FALSE,
40,253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,Intervals,Scheduling,Sweep Line,Amazon|Google|Meta,Minimum meeting rooms,FALSE,
40,759,Employee Free Time,https://leetcode.com/problems/employee-free-time/,Hard,Intervals,Scheduling,Merge Intervals,Google|Amazon|Meta,Find common free time,FALSE,
41,238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,Arrays,Prefix/Suffix,One Pass,Google|Meta|Amazon,Product without division,FALSE,
41,42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,Arrays,Stack,Two Pointers/Stack,Google|Meta|Amazon,Calculate trapped rainwater,FALSE,
41,407,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii/,Hard,Graphs,Priority Queue,Min Heap + BFS,Google|Amazon|Meta,2D trapping water,FALSE,
41,1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,Arrays,Basic,Hash Map,Google|Meta|Amazon,Classic two pointer/hash map,FALSE,
42,4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,Arrays,Merging,Binary Search,Google|Meta|Amazon|Apple,Find median of merged arrays,FALSE,
42,33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,Binary Search,Modified,Binary Search,Google|Meta|Amazon,Binary search on rotated array,FALSE,
42,81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,Binary Search,Modified,Binary Search,Amazon|Google,Handle duplicates in rotated,FALSE,
42,153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,Binary Search,Search,Binary Search,Amazon|Google|Meta,Find minimum in rotated,FALSE,
42,154,Find Minimum in Rotated Sorted Array II,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,Hard,Binary Search,Search,Binary Search,Google|Amazon,Minimum with duplicates,FALSE,
43,315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,Hard,Arrays,Inversion,Merge Sort,Google|Meta|Amazon,Count inversions,FALSE,
43,282,Expression Add Operators,https://leetcode.com/problems/expression-add-operators/,Hard,Backtracking,Expression,Backtracking,Google|Meta|Amazon,Generate all expressions,FALSE,
43,1187,Make Array Strictly Increasing,https://leetcode.com/problems/make-array-strictly-increasing/,Hard,Dynamic Programming,Array,DP + Binary Search,Google|Amazon,Minimum replacements,FALSE,
43,1263,Minimum Moves to Make Array Equal,https://leetcode.com/problems/minimum-moves-to-make-array-equal/,Medium,Greedy,Array,Greedy,Google|Amazon,Minimum moves approach,FALSE,
44,297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,Trees,Serialization,DFS/BFS,Google|Meta|Amazon,Tree encoding and decoding,FALSE,
44,449,Serialize and Deserialize BST,https://leetcode.com/problems/serialize-and-deserialize-bst/,Medium,Binary Search Trees,Serialization,DFS/Recursion,Google|Amazon|Meta,BST serialization,FALSE,
44,428,Serialize and Deserialize N-ary Tree,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree/,Hard,Trees,Serialization,DFS,Google|Amazon,N-ary tree serialization,FALSE,
44,1600,Throne Inheritance,https://leetcode.com/problems/throne-inheritance/,Medium,Trees,Hierarchy,DFS/Hash Map,Google|Amazon,Family tree inheritance,FALSE,
45,3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,Strings,Sliding Window,Sliding Window,Google|Meta|Amazon|Apple,Sliding window without repeating,FALSE,
45,76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,Strings,Sliding Window,Sliding Window,Google|Meta|Amazon,Find minimum window,FALSE,
45,1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,Arrays,Basic,Hash Map,Google|Meta|Amazon,Review and optimize,FALSE,
45,42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,Arrays,Stack,Stack,Google|Meta|Amazon,Advanced water trapping,FALSE,
